% var #0	var #1	obj #0	const #0	const #1	penalty
3.634913	3.680864	138.439974	0.000000	0.000000	0.000000
4.215531	3.263333	162.538046	0.000000	0.000000	0.000000
5.689784	0.248717	469.084576	0.000000	0.000000	0.000000
1.052767	5.005849	389.112665	14.639172	0.023394	14.662567
1.228581	4.152924	160.174506	5.470377	0.000000	5.470377
0.447911	1.493741	105.264367	0.000000	0.000000	0.000000
3.611398	2.265176	21.589447	0.000000	0.000000	0.000000
2.972331	5.949991	998.697681	13.513839	3.799965	17.313804
2.091745	1.032223	46.041574	0.000000	0.000000	0.000000
1.343024	4.770840	312.129183	10.134385	0.000000	10.134385
5.783180	4.899816	1267.195211	0.000000	0.000000	0.000000
2.797341	0.280112	25.388695	0.000000	0.000000	0.000000
3.115154	0.477716	14.040258	0.000000	0.000000	0.000000
1.781729	3.886526	113.264149	0.000000	0.000000	0.000000
1.446789	4.562605	251.866465	7.442675	0.000000	7.442675
3.915130	3.225739	110.652650	0.000000	0.000000	0.000000
2.218703	4.278239	186.082170	0.038944	0.000000	0.038944
4.321595	5.724923	1085.378822	7.234973	2.899690	10.134663
4.396791	3.250775	197.585945	0.000000	0.000000	0.000000
4.664928	4.832655	684.997981	0.000000	0.000000	0.000000
3.125897	4.519214	284.702697	0.000000	0.000000	0.000000
4.906194	4.127460	519.044833	0.000000	0.000000	0.000000
3.438985	1.353077	7.744660	0.000000	0.000000	0.000000
0.864535	4.528217	239.244649	11.606816	0.000000	11.606816
5.651403	3.147315	653.342050	0.000000	0.000000	0.000000
0.909577	1.800628	78.203104	0.000000	0.000000	0.000000
1.383403	5.500870	620.130674	17.339341	2.003480	19.342821
4.250216	1.431943	72.675737	0.000000	0.000000	0.000000
1.670367	4.055657	140.883452	1.534808	0.000000	1.534808
0.192089	2.457208	72.943203	3.153881	0.000000	3.153881
5.639585	3.818555	781.108921	0.000000	0.000000	0.000000
4.743027	2.305400	199.837812	0.000000	0.000000	0.000000
2.971377	2.049554	0.044330	0.000000	0.000000	0.000000
5.166542	5.950292	1595.552611	9.433711	3.801168	13.234879
1.404524	5.956103	902.227740	22.402606	3.824410	26.227017
